"rank","title","rating","start_year","end_year","episodes","scrape_date","title_id"
10,"Monster",7.8,2022,0,28,2025-11-03,"tt13207736"
11,"The Diplomat",8,2023,0,23,2025-11-03,"tt17491088"
12,"Boots",7.9,2025,0,8,2025-11-03,"tt27987047"
13,"Only Murders in the Building",8,2021,0,60,2025-11-03,"tt11691774"
14,"Game of Thrones",9.2,2011,2019,74,2025-11-03,"tt0944947"
15,"The Last Frontier",6.9,2025,0,10,2025-11-03,"tt26862142"
16,"Lazarus",6.2,2025,0,6,2025-11-03,"tt31186865"
17,"High Potential",7.6,2024,0,31,2025-11-03,"tt22091076"
18,"Breaking Bad",9.5,2008,2013,62,2025-11-03,"tt0903747"
19,"Tulsa King",7.9,2022,0,30,2025-11-03,"tt16358384"
20,"Wednesday",8,2022,0,17,2025-11-03,"tt13443470"
21,"Chad Powers",7.6,2025,0,6,2025-11-03,"tt31449991"
22,"Pluribus",9,2025,0,10,2025-11-03,"tt22202452"
23,"Boston Blue",6.3,2025,0,10,2025-11-03,"tt35826715"
24,"Dexter",8.6,2006,2013,96,2025-11-03,"tt0773262"
25,"Murdaugh: Death in the Family",7.1,2025,2025,8,2025-11-03,"tt19853270"
28,"Devil in Disguise: John Wayne Gacy",7.6,2025,2025,8,2025-11-03,"tt31314754"
29,"House of Guinness",7.5,2025,0,8,2025-11-03,"tt13542714"
30,"Gen V",7.6,2023,0,16,2025-11-03,"tt13159924"
31,"The Chair Company",7.9,2025,0,8,2025-11-03,"tt31987295"
35,"Black Rabbit",7.4,2025,2025,8,2025-11-03,"tt23055142"
40,"Wayward",5.9,2025,2025,8,2025-11-03,"tt27427326"
50,"Sheriff Country",6.2,2025,0,20,2025-11-03,"tt32268630"
53,"The Monster of Florence",6.4,2025,2025,4,2025-11-03,"tt29457135"
58,"Peacemaker",8.3,2022,0,16,2025-11-03,"tt13146488"
1,"Pluribus",8.9,2025,0,10,2025-11-10,"tt22202452"
2,"The Witcher",7.9,2019,0,33,2025-11-10,"tt5180504"
3,"IT: Welcome to Derry",7.8,2025,0,10,2025-11-10,"tt19244304"
4,"Stranger Things",8.6,2016,2025,42,2025-11-10,"tt4574334"
5,"All Her Fault",7.7,2025,2025,8,2025-11-10,"tt31314751"
6,"Death by Lightning",7.8,2025,2025,4,2025-11-10,"tt31121364"
7,"All's Fair",2.9,2025,0,9,2025-11-10,"tt30291387"
8,"South Park",8.7,1997,0,334,2025-11-10,"tt0121955"
9,"Slow Horses",8.3,2022,0,38,2025-11-10,"tt5875444"
10,"Nobody Wants This",7.8,2024,0,21,2025-11-10,"tt26933824"
11,"Down Cemetery Road",7.1,2025,0,8,2025-11-10,"tt32132630"
12,"Task",8,2025,2025,7,2025-11-10,"tt28013708"
13,"Game of Thrones",9.2,2011,2019,74,2025-11-10,"tt0944947"
14,"Breaking Bad",9.5,2008,2013,62,2025-11-10,"tt0903747"
15,"The Diplomat",8,2023,0,23,2025-11-10,"tt17491088"
16,"Legenden",7.1,2025,0,6,2025-11-10,"tt33293130"
17,"Robin Hood",6.3,2025,0,11,2025-11-10,"tt33484460"
18,"Monster",7.8,2022,0,28,2025-11-10,"tt13207736"
19,"Tulsa King",7.9,2022,0,30,2025-11-10,"tt16358384"
20,"The Last Frontier",6.9,2025,0,10,2025-11-10,"tt26862142"
21,"High Potential",7.6,2024,0,31,2025-11-10,"tt22091076"
22,"I Love LA",5.6,2025,0,8,2025-11-10,"tt33362589"
23,"Maxton Hall - Die Welt zwischen uns",7.5,2024,0,13,2025-11-10,"tt27792190"
24,"Only Murders in the Building",8,2021,0,60,2025-11-10,"tt11691774"
25,"Boots",7.9,2025,0,8,2025-11-10,"tt27987047"
26,"Lazarus",6.2,2025,0,6,2025-11-10,"tt31186865"
27,"Dexter",8.6,2006,2013,96,2025-11-10,"tt0773262"
31,"Chad Powers",7.6,2025,0,6,2025-11-10,"tt31449991"
34,"Wednesday",8,2022,0,17,2025-11-10,"tt13443470"
35,"The Chair Company",7.9,2025,0,8,2025-11-10,"tt31987295"
36,"Murdaugh: Death in the Family",7.1,2025,2025,8,2025-11-10,"tt19853270"
41,"Black Rabbit",7.4,2025,2025,8,2025-11-10,"tt23055142"
42,"House of Guinness",7.5,2025,0,8,2025-11-10,"tt13542714"
45,"Sheriff Country",6.2,2025,0,20,2025-11-10,"tt32268630"
59,"Boston Blue",6.3,2025,0,10,2025-11-10,"tt35826715"
64,"Gen V",7.6,2023,0,16,2025-11-10,"tt13159924"
67,"Devil in Disguise: John Wayne Gacy",7.6,2025,2025,8,2025-11-10,"tt31314754"
68,"Wayward",5.9,2025,2025,8,2025-11-10,"tt27427326"
74,"Peacemaker",8.3,2022,0,16,2025-11-10,"tt13146488"
185,"The Monster of Florence",6.4,2025,2025,4,2025-11-10,"tt29457135"
